Number of C5.0 Attributes,Number of Event Types,Number of Values,Number of Selection Constraints,Number of Attributes,Number of Relevant Types,Number of Negation Constraints, Number of Aggregate Constraints, Number of Parameter Constraints, Window,Number of Errors,Original Precision,Original Recall,Original F-score,Misclassification Cost Estimate,Final Precision,Final Recall,Final F-score,iCEP Precision,iCEP Recall,iCEP F-score
135,15,50,1,2,3,2,0,0,10,465,0.9985709911197306,1.0,0.9992849846782431,1.0,0.9985709911197306,1.0,0.9992849846782431,0.6829787234042554,1.0,0.8116308470290771
135,15,50,1,2,3,3,0,0,10,619,0.9974025974025974,1.0,0.9986996098829649,1.0,0.9974025974025974,1.0,0.9986996098829649,0.6889333538556257,1.0,0.8158206506880525
135,15,50,1,2,3,5,0,0,10,608,0.9986449864498645,0.9997912970885944,0.9992178130051624,1.0,0.9986449864498645,0.9997912970885944,0.9992178130051624,0.6472784139635777,1.0,0.7858761560605133
135,15,50,1,2,3,2,0,0,10,644,0.9988540472965934,1.0,0.9994266951581801,1.0,0.9988540472965934,1.0,0.9994266951581801,0.6722262888214995,1.0,0.8039896194853516
135,15,50,1,2,3,3,0,0,10,616,0.9998924268502581,1.0,0.9999462105319777,1.0,0.9998924268502581,1.0,0.9999462105319777,0.6488847774694213,1.0,0.7870589702032166
135,15,50,1,2,3,5,0,0,10,530,0.9976773648648649,1.0,0.9988373322058979,1.0,0.9976773648648649,1.0,0.9988373322058979,0.6412053258584443,1.0,0.7813834329632792
135,15,50,1,2,3,2,0,0,10,470,0.9973051202714842,1.0,0.9986507420918495,1.0,0.9973051202714842,1.0,0.9986507420918495,0.6974575388142128,1.0,0.8217672876830054
135,15,50,1,2,3,3,0,0,10,435,0.9981053051455924,0.9988025147190899,0.9984537882188639,1.0,0.9981053051455924,0.9988025147190899,0.9984537882188639,0.6904005737117098,1.0,0.8168484848484848
135,15,50,1,2,3,5,0,0,10,625,0.9987063389391979,1.0,0.9993527508090615,1.0,0.9987063389391979,1.0,0.9993527508090615,0.6319827499749273,1.0,0.774496850514672
135,15,50,1,2,3,2,0,0,10,493,0.9985550624419445,1.0,0.9992770088824623,1.0,0.9985550624419445,1.0,0.9992770088824623,0.6804443296305864,1.0,0.8098385857033051
135,15,50,1,2,3,3,0,0,10,599,0.9991349480968859,1.0,0.9995672868887927,1.0,0.9991349480968859,1.0,0.9995672868887927,0.6466967583093968,1.0,0.785447296287067
135,15,50,1,2,3,5,0,0,10,538,0.999064449064449,1.0,0.9995320056159327,1.0,0.999064449064449,1.0,0.9995320056159327,0.6504451335400621,1.0,0.7882057032031274
135,15,50,1,2,3,2,0,0,10,589,0.9987771323754203,1.0,0.9993881921076782,1.0,0.9987771323754203,1.0,0.9993881921076782,0.6844705637611816,1.0,0.8126833184105715
135,15,50,1,2,3,3,0,0,10,510,0.9982481450948063,1.0,0.9991233046258574,1.0,0.9982481450948063,1.0,0.9991233046258574,0.6689092029580936,1.0,0.8016124565344493
135,15,50,1,2,3,5,0,0,10,539,0.9985197716219074,1.0,0.999259337636229,1.0,0.9985197716219074,1.0,0.999259337636229,0.6421100271547823,1.0,0.7820548154953301
135,15,50,1,2,3,2,0,0,10,549,0.9987846870569171,1.0,0.9993919740575598,1.0,0.9987846870569171,1.0,0.9993919740575598,0.6876591322421408,1.0,0.8149265679362049
135,15,50,1,2,3,3,0,0,10,413,0.9986996098829649,1.0,0.9993493819128172,1.0,0.9986996098829649,1.0,0.9993493819128172,0.6882844116592388,1.0,0.8153654762265983
135,15,50,1,2,3,5,0,0,10,519,0.9990187527256869,1.0,0.9995091355331334,1.0,0.9990187527256869,1.0,0.9995091355331334,0.6288949003105901,1.0,0.7721736991019805
