Number of C5.0 Attributes,Number of Event Types,Number of Values,Number of Selection Constraints,Number of Attributes,Number of Relevant Types,Window,Number of Errors,Original Precision,Original Recall,Original F-score,Misclassification Cost Estimate,Final Precision,Final Recall,Final F-score,iCEP Precision,iCEP Recall,iCEP F-score
135,15,50,1,2,2,10,464,0.9799853907962016,1.0,0.9898915369290932,2.0,0.9945144551519645,1.0,0.9972496840853341,0.9998731286475514,0.9640366972477065,0.9816279504266052
135,15,50,1,2,3,10,2961,0.9356566011235955,1.0,0.9667588771484286,5.333333492279053,0.9842105263157894,1.0,0.9920424403183024,1.0,0.8853125892092493,0.939167960025741
135,15,50,1,2,5,10,891,0.9921142687100134,1.0,0.9960415266263352,4.0,0.9930007446016381,1.0,0.9964880818949414,1.0,0.8853389452203303,0.9391827898795831
135,15,50,1,2,2,10,12469,0.8170724152883603,1.0,0.8993284014591075,6.666666507720947,0.9320896049749134,1.0,0.9648513221901174,0.7989697044032872,0.4437934323477313,0.5706276553808418
135,15,50,1,2,3,10,508,0.9975059856344772,1.0,0.9987514358487739,1.3333333730697632,0.9978046103183315,1.0,0.9989010989010989,1.0,0.9603240081002025,0.9797604927880017
135,15,50,1,2,5,10,859,0.986094674556213,1.0,0.9929986593177417,3.3333332538604736,0.9918166939443536,1.0,0.9958915365653246,1.0,0.9133773321487498,0.9547278697223972
135,15,50,1,2,2,10,9485,0.8092939985988947,1.0,0.8945964549991395,7.333333492279053,0.960118006993007,0.8451476387419448,0.8989718144150596,1.0,0.6653976311336718,0.7990855981711964
135,15,50,1,2,3,10,620,0.9960155393963542,1.0,0.998003792793692,0.6666666865348816,0.9960155393963542,1.0,0.998003792793692,0.9996228976544234,1.0,0.9998114132689624
135,15,50,1,2,5,10,875,0.9844926894107222,1.0,0.9921857557490511,4.666666507720947,0.9941834451901566,1.0,0.997083239847431,1.0,0.90625,0.9508196721311475
135,15,50,1,2,2,10,10549,0.7787369377555656,1.0,0.8756066411238825,8.0,0.9709214501510574,1.0,0.9852462157501436,1.0,0.6693403874050687,0.8019219956039463
135,15,50,1,2,3,10,602,0.997412162834677,1.0,0.9987044050229221,2.0,0.997412162834677,1.0,0.9987044050229221,1.0,0.9500710068017042,0.9743963204292833
135,15,50,1,2,5,10,898,0.9928507596067918,1.0,0.9964125560538116,0.6666666865348816,0.9938869837483226,1.0,0.9969341209900546,1.0,1.0,1.0
135,15,50,1,2,2,10,6608,0.8015910154422087,0.9989503149055283,0.8894542811153227,6.0,0.9545403271291596,0.986937252157686,0.9704684901657206,1.0,0.7831505483549352,0.8783897120492032
135,15,50,1,2,3,10,3616,0.9133055956525431,0.9993496237108613,0.9543921916592726,9.333333015441895,0.994909763998149,0.998792158320171,0.996847181008902,1.0,0.8734276170847843,0.9324380713933462
135,15,50,1,2,5,10,828,0.9906375390102541,1.0,0.9952967525195968,1.3333333730697632,0.9915216421240518,1.0,0.9957427739188887,1.0,1.0,1.0
135,15,50,1,2,2,10,808,0.9645129365191574,1.0,0.9819359481827996,4.0,0.9865509761388286,1.0,0.9932299628739899,1.0,0.9672368104071308,0.9833455792309576
135,15,50,1,2,3,10,621,0.9958171496862862,1.0,0.9979041916167665,0.0,0.9958171496862862,1.0,0.9979041916167665,1.0,0.9571931928930205,0.9781284712912247
135,15,50,1,2,5,10,942,0.9919642857142857,1.0,0.9959659345584939,3.3333332538604736,0.9962636377223135,1.0,0.9981283222280452,1.0,1.0,1.0
135,15,50,1,2,2,10,667,0.9693375759328898,0.9988077496274218,0.9838520258367587,6.666666507720947,0.9920059215396003,0.9986587183308495,0.995321203119198,1.0,0.9642074506939372,0.9817776124953513
135,15,50,1,2,3,10,567,0.9941340226685226,1.0,0.9970583836067209,1.3333333730697632,0.9941340226685226,1.0,0.9970583836067209,1.0,1.0,1.0
135,15,50,1,2,5,10,917,0.9884341637010676,1.0,0.9941834451901566,2.0,0.9903431882335463,1.0,0.9951481675001866,1.0,0.899000758917278,0.946814533586439
135,15,50,1,2,2,10,2956,0.9073707642839476,0.999591280653951,0.9512511344483341,6.666666507720947,0.9723991507430998,0.9983651226158038,0.9852110782468406,1.0,0.8963566417741571,0.9453460620525059
135,15,50,1,2,3,10,440,0.9951292246520875,0.9998002596624388,0.9974592736511733,2.6666667461395264,0.9980055843637814,0.999500649156097,0.9987525572576218,1.0,0.925003761095231,0.961040990973389
135,15,50,1,2,5,10,901,0.9928507596067918,1.0,0.9964125560538116,4.666666507720947,0.9950738916256158,1.0,0.9975308641975309,1.0,1.0,1.0
135,15,50,1,2,2,10,5333,0.8485807637328977,1.0,0.9180889257111295,7.333333492279053,0.966394399066511,0.996510648538082,0.9812214916177951,1.0,0.8031762295081967,0.8908460707994773
135,15,50,1,2,3,10,817,0.9870923243669327,0.9966175885395941,0.9918320875204197,4.0,0.9934575733544806,0.9970155192996418,0.9952333664349553,1.0,0.9186002853495532,0.957573385518591
135,15,50,1,2,5,10,1005,0.9862405681313804,1.0,0.993072625698324,2.0,0.9922596010717476,1.0,0.9961147638971907,1.0,1.0,1.0
135,15,50,1,2,2,10,617,0.9715230835610528,1.0,0.9855558797782318,4.666666507720947,0.9907529722589168,0.999259807549963,0.9949882075471699,1.0,0.9563733853278089,0.9777002616170425
135,15,50,1,2,3,10,831,0.9822965571205008,0.9975168851807708,0.9898482160457323,2.6666667461395264,0.9883023690160228,0.9986094557012316,0.9934291784002767,1.0,0.9214418431809737,0.9591149963253781
135,15,50,1,2,5,10,880,0.9940351923650462,1.0,0.9970086748429554,4.0,0.9958171496862862,1.0,0.9979041916167665,1.0,1.0,1.0
135,15,50,1,2,2,10,931,0.957479870038141,1.0,0.9782781265786246,9.333333015441895,0.9923865300146413,1.0,0.9961787184009406,0.9991434165442976,0.9823147256977863,0.9906576073768504
135,15,50,1,2,3,10,1158,0.9778697200038488,0.9984281363591708,0.9880419988333657,5.333333492279053,0.9959859017035442,0.999410551134689,0.9976952875986859,1.0,0.9159701492537313,0.956142400872478
135,15,50,1,2,5,10,891,0.9916691460874739,1.0,0.9958171496862861,2.0,0.9950738916256158,1.0,0.9975308641975309,0.9999370673379484,1.0,0.999968532678813
135,15,50,1,2,2,10,6276,0.844327931363203,1.0,0.9155941489636636,6.666666507720947,0.9637393767705382,0.9602574235068307,0.9619952494061756,1.0,0.7672639225181598,0.8683071189784621
135,15,50,1,2,3,10,615,0.9959163346613545,1.0,0.9979539897200459,1.3333333730697632,0.9969092721834496,1.0,0.9984522442458436,0.9998432356168678,0.9635168819397235,0.9813440012309113
135,15,50,1,2,5,10,872,0.9921119214168775,1.0,0.9960403436682854,2.0,0.9944800835446815,1.0,0.997232403321116,0.9999366005198758,1.0,0.9999682992550325
135,15,50,1,2,2,10,602,0.9770048864616269,0.998677831643896,0.9877224845622956,7.333333492279053,0.9975047702920886,0.9983840164536506,0.9979441997063142,1.0,0.9680619404790709,0.9837718219818048
135,15,50,1,2,3,10,1538,0.9647304876889438,0.9990155542429612,0.9815737292644,4.666666507720947,0.9822897512822995,0.999212443394369,0.9906788346103167,1.0,0.9118171021377672,0.9538748252834292
135,15,50,1,2,5,10,971,0.9899019899019899,1.0,0.9949253731343284,0.0,0.9899019899019899,1.0,0.9949253731343284,1.0,1.0,1.0
135,15,50,1,2,2,10,1574,0.9470061940812113,1.0,0.9727819017320608,4.666666507720947,0.982997571081583,1.0,0.991425895237409,1.0,0.9454349647002512,0.9719522696518637
135,15,50,1,2,3,10,590,0.9944339528873869,1.0,0.9972092096082926,1.3333333730697632,0.995324313569439,1.0,0.9976566784663708,1.0,0.9619634668871683,0.9806130268199234
135,15,50,1,2,5,10,887,0.9884341637010676,1.0,0.9941834451901566,2.0,0.9903431882335463,1.0,0.9951481675001866,1.0,0.9063992359121299,0.9509018036072144
135,15,50,1,2,2,10,448,0.9812035552965176,1.0,0.990512613076414,2.6666667461395264,0.9930688688983925,1.0,0.9965223825379209,0.99925,0.9720330739299611,0.9854536489151875
135,15,50,1,2,3,10,790,0.988187813761197,0.9998008166517279,0.9939603960396038,5.333333492279053,0.9954396748289878,1.0,0.997714626391097,1.0,0.920738572393605,0.9587338804220399
135,15,50,1,2,5,10,820,0.9865344776561112,1.0,0.9932216014897578,1.3333333730697632,0.9866804795027379,1.0,0.9932955899880811,1.0,0.9028679483138985,0.9489549173540031
135,15,50,1,2,2,10,10794,0.7864812279311091,0.996257416704701,0.8790270618556701,9.333333015441895,0.9655770635500365,0.9653126426289366,0.9654448349842516,1.0,0.6368095199807028,0.7781107235840251
135,15,50,1,2,3,10,448,0.9994014365522745,1.0,0.9997006286797725,2.0,0.9994014365522745,1.0,0.9997006286797725,1.0,0.9699564368334085,0.9847491230745768
135,15,50,1,2,5,10,932,0.9885807504078303,1.0,0.9942575881870386,4.0,0.9916691460874739,1.0,0.9958171496862861,1.0,0.8993368368368369,0.9470008893573569
135,15,50,1,2,2,10,13533,0.8220913861512863,1.0,0.90236021354313,6.666666507720947,0.9458106317184509,1.0,0.9721507492053882,0.7649027140909654,0.4299247701309557,0.5504570791527313
135,15,50,1,2,3,10,650,0.9930514194957316,0.9999000499750125,0.9964639673290502,2.6666667461395264,0.9972080965200917,0.99960019990005,0.9984027153838475,1.0,0.9628931291952636,0.9810958272496734
135,15,50,1,2,5,10,973,0.9931466030989273,1.0,0.996561518911646,2.6666667461395264,0.994776898970303,1.0,0.9973816114311364,1.0,1.0,1.0
135,15,50,1,2,2,10,10558,0.78902020587114,1.0,0.8820696415633125,9.333333015441895,0.9645786726323639,1.0,0.9819700132852532,1.0,0.6656809733017911,0.7992898808014202
135,15,50,1,2,3,10,581,0.9961205610265592,0.9998003194888179,0.9979570481837661,2.0,0.9963195066149408,1.0,0.9981563605560815,1.0,0.9438556933483653,0.9711170397865677
135,15,50,1,2,5,10,985,0.9925550923168552,1.0,0.9962636377223135,4.0,0.9952224544640191,1.0,0.9976055073331338,1.0,1.0,1.0
135,15,50,1,2,2,10,968,0.9639270052341208,1.0,0.9816322120579126,4.0,0.990550952173281,1.0,0.9952530490031404,0.9972936400541272,0.9818335957369505,0.9895032344684487
135,15,50,1,2,3,10,600,0.9949314251639833,0.9999001198561726,0.9974095845372123,0.6666666865348816,0.9921704658077304,0.9999001198561726,0.9960202964879116,0.9999215501686671,0.9548280770095138,0.9768546903740035
135,15,50,1,2,5,10,909,0.9919642857142857,1.0,0.9959659345584939,2.0,0.9925550923168552,1.0,0.9962636377223135,1.0,0.9158143697264127,0.9560575222715292
135,15,50,1,2,2,10,2703,0.911333086693797,1.0,0.9536099103167947,7.333333492279053,0.9861222311182279,1.0,0.9930126310131685,1.0,0.8860318886144173,0.9395725427159612
135,15,50,1,2,3,10,555,0.9949258780220873,0.9998000399920016,0.9973570039395601,1.3333333730697632,0.9952238805970149,1.0,0.997606223818073,1.0,0.9739313349861017,0.9867935299714558
135,15,50,1,2,5,10,853,0.9896142433234422,0.9997002398081535,0.9946316731285417,4.666666507720947,0.99596713965646,0.999400479616307,0.9976808558390065,1.0,0.9125918419052444,0.9542985825937209
135,15,50,1,2,2,10,2622,0.9103354711396152,1.0,0.9530634643940862,2.0,0.9384615384615385,1.0,0.9682539682539683,1.0,0.88785151856018,0.940594649347554
135,15,50,1,2,3,10,569,0.99651359697181,1.0,0.9982537544279798,1.3333333730697632,0.9969108121574489,1.0,0.9984530166175957,1.0,0.9637387387387387,0.9815345796536299
135,15,50,1,2,5,10,901,0.9913741820345032,1.0,0.9956684092606423,1.3333333730697632,0.9934426229508196,1.0,0.9967105263157894,1.0,1.0,1.0
135,15,50,1,2,2,10,2850,0.9252347998022739,1.0,0.9611656717375955,4.0,0.9590015519917227,0.9903833311072525,0.9744398449306787,1.0,0.8778310833426308,0.9349414770364209
135,15,50,1,2,3,10,987,0.9793432719477736,0.9970241047515127,0.98810460086512,3.3333332538604736,0.9901254073269478,0.9946433885527229,0.9923792557403008,1.0,0.9193584483401716,0.957985152940262
135,15,50,1,2,5,10,1007,0.9927029039463887,1.0,0.9963380913235184,4.0,0.9956684092606423,1.0,0.9978295037796572,1.0,1.0,1.0
