Number of C5.0 Attributes,Number of Event Types,Number of Values,Number of Selection Constraints,Number of Attributes,Number of Relevant Types,Window,Number of Errors,Original Precision,Original Recall,Original F-score,Misclassification Cost Estimate,Final Precision,Final Recall,Final F-score,iCEP Precision,iCEP Recall,iCEP F-score
135,15,5,1,2,3,10,570,0.9943390604826696,0.9992015968063872,0.9967643984269999,3.3333332538604736,0.9969132729264164,0.9992015968063872,0.9980561232118825,1.0,1.0,1.0
135,15,50,1,2,3,10,478,0.9970095693779905,1.0,0.9985025456723571,3.3333332538604736,0.998502545672357,1.0,0.9992507118237675,1.0,0.9640190088255262,0.9816799170411339
135,15,500,1,2,3,10,643,0.9982035928143712,0.9997001499250375,0.9989513108614232,0.0,0.9982035928143712,0.9997001499250375,0.9989513108614232,1.0,0.9219852830755368,0.9594093057780209
135,15,5,1,2,3,10,654,0.9856304985337243,1.0,0.992763255058337,4.666666507720947,0.9952475247524752,0.9969255181989487,0.9960858147946291,1.0,1.0,1.0
135,15,50,1,2,3,10,623,0.994834094973177,0.9993014669194691,0.9970627769203962,0.6666666865348816,0.9952324195470799,0.9999002095599242,0.9975608541988152,1.0,0.9502745806063342,0.9745033751205401
135,15,500,1,2,3,10,512,0.9973083441331871,1.0,0.9986523583728475,4.0,0.9984031936127744,1.0,0.9992009588493808,1.0,0.9264329772829848,0.961811792268645
135,15,5,1,2,3,10,696,0.9939466110945718,1.0,0.9969641168566168,2.6666667461395264,0.9947363193961665,1.0,0.997361214836943,1.0,1.0,1.0
135,15,50,1,2,3,10,2961,0.935820895522388,1.0,0.9668465690053971,4.0,0.9804985741882072,1.0,0.9901532745006968,1.0,0.8853125892092493,0.939167960025741
135,15,500,1,2,3,10,980,0.9843476570095275,1.0,0.9921120964185979,0.6666666865348816,0.985977212971078,1.0,0.9929390997352162,1.0,0.914668652271035,0.955432838142646
135,15,5,1,2,3,10,1966,0.9552686607873443,1.0,0.9771226634427602,6.666666507720947,0.9938511020717056,0.9999048253545255,0.9968687731283802,1.0,0.892325649255909,0.9430994602929837
135,15,50,1,2,3,10,508,0.9967105263157895,1.0,0.9983525535420099,0.6666666865348816,0.9967105263157895,1.0,0.9983525535420099,1.0,0.9603240081002025,0.9797604927880017
135,15,500,1,2,3,10,803,0.9840352595494614,0.9950480340695256,0.9895110060570246,2.0,0.9915187376725838,0.995741309299792,0.9936255373820231,1.0,0.9190764402600314,0.9578320289685784
135,15,5,1,2,3,10,1400,0.9729652546406473,0.9998043627115328,0.9862022385179469,4.0,0.9877152253820856,0.9988261762691969,0.9932396284227422,1.0,0.9110833272045304,0.9534731575909179
135,15,50,1,2,3,10,620,0.9959163346613545,1.0,0.9979539897200459,2.0,0.9960155393963542,1.0,0.998003792793692,0.9996228976544234,1.0,0.9998114132689624
135,15,500,1,2,3,10,2514,0.9402323312937838,1.0,0.9691956124314441,4.0,0.9811233459794577,1.0,0.990471742176553,1.0,0.8858715330581505,0.9394823746256048
135,15,5,1,2,3,10,2758,0.933644375324002,1.0,0.9656836461126005,9.333333015441895,0.9931985294117647,1.0,0.9965876602416305,1.0,0.8717244294167371,0.9314666365586541
135,15,50,1,2,3,10,602,0.9956284153005465,1.0,0.9978094194961665,1.3333333730697632,0.9955295052652493,1.0,0.9977597451087767,1.0,0.9500710068017042,0.9743963204292833
135,15,500,1,2,3,10,566,0.9977050488924366,1.0,0.9988512062334548,0.0,0.9977050488924366,1.0,0.9988512062334548,1.0,1.0,1.0
135,15,5,1,2,3,10,3874,0.9213427268959801,1.0,0.9590613002027523,8.666666984558105,0.9916915018513501,0.9878553436487946,0.9897697057100366,1.0,0.8499860646599777,0.9189107754886822
135,15,50,1,2,3,10,3616,0.9157159884215903,0.9993496237108613,0.9557066062463904,5.333333492279053,0.9829950630828305,0.9989779801170677,0.9909220773236256,1.0,0.8734276170847843,0.9324380713933462
135,15,500,1,2,3,10,480,0.996313272220008,1.0,0.9981532318442725,0.6666666865348816,0.996313272220008,1.0,0.9981532318442725,0.9999244370560677,1.0,0.9999622171005402
135,15,5,1,2,3,10,623,0.988396105811781,0.9964310498661644,0.9923973143759874,2.6666667461395264,0.9942534429802834,0.9948448498066819,0.9945490584737364,1.0,0.9401041666666666,0.9691275167785235
135,15,50,1,2,3,10,621,0.9967105263157895,1.0,0.9983525535420099,0.0,0.9967105263157895,1.0,0.9983525535420099,1.0,0.9571931928930205,0.9781284712912247
135,15,500,1,2,3,10,650,0.9983033932135729,1.0,0.9991509763771663,4.0,0.9990012983121942,1.0,0.9995003996802557,1.0,1.0,1.0
135,15,5,1,2,3,10,874,0.9799576026209289,0.9982332155477032,0.989010989010989,6.666666507720947,0.9933548324049644,0.9977424420887319,0.9955438029479458,1.0,0.9308961212661614,0.964211498499192
135,15,50,1,2,3,10,567,0.9971080973274831,1.0,0.9985519548609377,1.3333333730697632,0.9947274174293673,1.0,0.997356740312204,1.0,1.0,1.0
135,15,500,1,2,3,10,587,0.9970122497759187,0.9999001198561726,0.9984540966438937,1.3333333730697632,0.9973102211595936,0.9999001198561726,0.9986034912718204,1.0,0.926322088413494,0.9617520288898381
135,15,5,1,2,3,10,2289,0.9560751948647409,1.0,0.9775444189208193,3.3333332538604736,0.986469864698647,1.0,0.993188854489164,1.0,0.8974807048201544,0.945970836531082
135,15,50,1,2,3,10,440,0.9957230952854585,0.9998002596624388,0.9977575123336823,2.0,0.9974093264248705,0.9997003894936582,0.9985535438176468,1.0,0.925003761095231,0.961040990973389
135,15,500,1,2,3,10,455,0.9986018176370718,1.0,0.9993004197481512,0.0,0.9986018176370718,1.0,0.9993004197481512,1.0,1.0,1.0
135,15,5,1,2,3,10,2082,0.958008618318511,1.0,0.9785540363363926,4.666666507720947,0.98491846545386,1.0,0.9924019375059361,1.0,0.8948326055312955,0.9444977914346073
135,15,50,1,2,3,10,817,0.983624240047068,0.9979108635097493,0.9907160493827161,4.666666507720947,0.9930617504212509,0.9967170712296061,0.9948860533240653,1.0,0.9186002853495532,0.957573385518591
135,15,500,1,2,3,10,493,0.9964225380105336,0.9993023719354196,0.997860377170722,2.0,0.9966175885395941,0.9984054215666733,0.9975107039729165,1.0,0.9251537423128844,0.9611219322165953
135,15,5,1,2,3,10,615,0.9931885488647582,0.9996025832091406,0.9963852438722456,3.3333332538604736,0.9949539922825764,0.9991058122205663,0.9970255800118977,1.0,0.9743859385562984,0.9870268213810158
135,15,50,1,2,3,10,831,0.9837589276978769,0.9987087802940008,0.991177485336882,5.333333492279053,0.9928895911514912,0.9986094557012316,0.995741309299792,1.0,0.9214418431809737,0.9591149963253781
135,15,500,1,2,3,10,1186,0.9728855484730282,1.0,0.9862564498239862,5.333333492279053,0.9956144625280187,0.9990221005280657,0.9973153707228974,1.0,0.9069339031758897,0.9511959503844817
135,15,5,1,2,3,10,994,0.9815555772421196,0.9970261697065821,0.9892303909515614,2.0,0.9864546525323911,0.996233148295004,0.9913197869402249,1.0,0.9381358467983244,0.9680805897564554
135,15,50,1,2,3,10,1158,0.9783570604078492,0.9992140681795855,0.9886755771567437,4.0,0.9941377625793845,0.9996070340897927,0.996864896639561,1.0,0.9159701492537313,0.956142400872478
135,15,500,1,2,3,10,617,0.9975059856344772,1.0,0.9987514358487739,2.0,0.9970086748429554,1.0,0.9985020970641102,1.0,1.0,1.0
135,15,5,1,2,3,10,2019,0.9478135684721972,1.0,0.9732076866223207,4.666666507720947,0.9863295880149813,1.0,0.9931177524276422,1.0,0.8873097904105656,0.9402905605841637
135,15,50,1,2,3,10,615,0.9968098893430366,1.0,0.998402396405392,2.0,0.9970086748429554,1.0,0.9985020970641102,0.9998432356168678,0.9635168819397235,0.9813440012309113
135,15,500,1,2,3,10,643,0.9898442121869454,0.9993032052558232,0.9945512185456706,5.333333492279053,0.997117296222664,0.9985068684053354,0.9978115985278025,1.0,0.9209077380952381,0.958825580044157
135,15,5,1,2,3,10,972,0.9806527262067618,0.9986069651741294,0.989548412541905,4.0,0.9908093685146754,0.9976119402985074,0.9941990182954039,1.0,0.9713019307339794,0.9854420731707317
135,15,50,1,2,3,10,1538,0.9634516802734004,0.9991139988186651,0.9809588246665378,4.666666507720947,0.9850499951461024,0.9989171096672573,0.9919350896915784,1.0,0.9118171021377672,0.9538748252834292
135,15,500,1,2,3,10,596,0.9988013185495954,1.0,0.999400299850075,1.3333333730697632,0.9988013185495954,1.0,0.999400299850075,1.0,1.0,1.0
135,15,5,1,2,3,10,629,0.9938461538461538,0.9991019756535622,0.9964671343981688,3.3333332538604736,0.9931581556767477,0.9994013171023748,0.9962699557368082,1.0,0.9659261483038126,0.982667786515996
135,15,50,1,2,3,10,590,0.9965139442231076,1.0,0.9982539286605139,4.666666507720947,0.9977064220183486,1.0,0.9988518943742823,1.0,0.9619634668871683,0.9806130268199234
135,15,500,1,2,3,10,754,0.9864983856765482,0.9994052928932501,0.9929098966026588,4.666666507720947,0.9905725228321712,0.99980176429775,0.9951657458563535,1.0,0.9168792198049512,0.9566374452097682
135,15,5,1,2,3,10,1021,0.9835701169421088,0.999705304518664,0.9915720758026014,4.666666507720947,0.9928745729624207,0.9992141453831042,0.9960342717258263,1.0,0.9336423158978886,0.9656825445137727
135,15,50,1,2,3,10,790,0.989064039408867,0.9998008166517279,0.9944034470803824,6.0,0.997119586809694,0.9998008166517279,0.9984584017106769,1.0,0.920738572393605,0.9587338804220399
135,15,500,1,2,3,10,3173,0.9210993657505285,1.0,0.9589294361051196,8.0,0.996977468400806,0.9993573264781491,0.9981659789087575,1.0,0.8687601211011758,0.929771682616231
135,15,5,1,2,3,10,862,0.9795918367346939,0.9953589414436654,0.9874124504089729,6.0,0.9898612068116941,0.9929890392021329,0.9914226560189292,1.0,0.9370326054442117,0.9674928576943865
135,15,50,1,2,3,10,448,0.999102423456667,1.0,0.9995510102269892,2.0,0.9992018357777113,0.9997005390297464,0.9994511251933537,1.0,0.9699564368334085,0.9847491230745768
135,15,500,1,2,3,10,1387,0.9688788901387326,0.9994198414233224,0.9839124226558781,7.333333492279053,0.9961471778077442,1.0,0.9980698706813357,1.0,0.9017680287579781,0.9483470277359873
135,15,5,1,2,3,10,4745,0.9129739241721324,1.0,0.9545074427161733,4.0,0.9734033396453778,0.9908007709830033,0.9820250086835707,1.0,0.8535044824775876,0.9209629548202704
135,15,50,1,2,3,10,650,0.996613208486901,1.0,0.9983037317900618,2.0,0.9976067012365377,0.9999000499750125,0.9987520591024809,1.0,0.9628931291952636,0.9810958272496734
135,15,500,1,2,3,10,562,0.9968098893430366,1.0,0.998402396405392,1.3333333730697632,0.9968098893430366,1.0,0.998402396405392,1.0,0.9999244655940781,0.9999622313706236
135,15,5,1,2,3,10,1074,0.9903628675385977,1.0,0.9951581027667985,6.666666507720947,0.9984137999405175,1.0,0.9992062704633395,1.0,0.9809467103304554,0.9903817252780283
135,15,50,1,2,3,10,581,0.9963191404695583,0.9999001597444089,0.9981064381104245,3.3333332538604736,0.996811796353492,0.9989017571884984,0.9978556824415299,1.0,0.9438556933483653,0.9711170397865677
135,15,500,1,2,3,10,2031,0.9528690399926787,0.9992322456813819,0.9755000702674848,2.6666667461395264,0.9756578947368421,0.996257197696737,0.9858499525166191,1.0,0.8956432897905569,0.9449491838620265
135,15,5,1,2,3,10,1179,0.9838961545969158,1.0,0.991882717567767,3.3333332538604736,0.9904696404008646,1.0,0.9952120045411915,1.0,1.0,1.0
135,15,50,1,2,3,10,600,0.992461813132315,0.9994007191370355,0.9959191798546829,5.333333492279053,0.9979066985645934,0.9999001198561726,0.998902414687687,0.9999215501686671,0.9548280770095138,0.9768546903740035
135,15,500,1,2,3,10,618,0.9973070017953322,1.0,0.9986516853932585,0.0,0.9973070017953322,1.0,0.9986516853932585,1.0,0.9219874270999016,0.9594104665825978
135,15,5,1,2,3,10,2698,0.9402040098487513,1.0,0.9691805656272662,5.333333492279053,0.9838056680161943,1.0,0.9918367346938776,1.0,0.8800486096218457,0.9361977186311786
135,15,50,1,2,3,10,555,0.9960167297351126,1.0,0.9980043903412493,1.3333333730697632,0.9960167297351126,1.0,0.9980043903412493,1.0,0.9739313349861017,0.9867935299714558
135,15,500,1,2,3,10,1883,0.9578110383536015,1.0,0.9784509532228008,6.666666507720947,0.994174191669094,1.0,0.9970785860356413,1.0,0.9103139013452914,0.9530516431924883
135,15,5,1,2,3,10,858,0.9903381642512077,1.0,0.9951456310679612,7.333333492279053,0.9966226283897884,0.9988053758088601,0.9977128082736675,1.0,0.9770011273957159,0.988366788321168
135,15,50,1,2,3,10,569,0.9969105042854295,0.9999000399840065,0.9984030342349536,0.6666666865348816,0.9970098674374563,0.9999000399840065,0.9984528622049209,1.0,0.9637387387387387,0.9815345796536299
135,15,500,1,2,3,10,643,0.9934471803018269,1.0,0.9967128200019922,2.0,0.9963151080569664,0.9998001199280432,0.9980545717563725,1.0,0.9250187265917603,0.9610490680571229
135,15,5,1,2,3,10,2319,0.944087173990711,1.0,0.9712395479187724,3.3333332538604736,0.9807014288365188,1.0,0.9902566985197676,1.0,0.8885550786838341,0.9409893189909856
135,15,50,1,2,3,10,987,0.9826776277157957,0.9960321396686836,0.9893098182176462,2.6666667461395264,0.9930693069306931,0.9949409780775716,0.9940042614340221,1.0,0.9193584483401716,0.957985152940262
135,15,500,1,2,3,10,479,0.9986020968547179,1.0,0.9993005595523581,0.0,0.9986020968547179,1.0,0.9993005595523581,0.9999249136506984,1.0,0.9999624554158063
