Number of C5.0 Attributes,Number of Event Types,Number of Values,Number of Selection Constraints,Number of Attributes,Number of Relevant Types,Window,Number of Errors,Original Precision,Original Recall,Original F-score,Misclassification Cost Estimate,Final Precision,Final Recall,Final F-score,iCEP Precision,iCEP Recall,iCEP F-score
135,15,5,1,2,5,10,924,0.9903431882335463,1.0,0.9951481675001866,0.6666666865348816,0.9910793933987511,1.0,0.9955197132616488,1.0,1.0,1.0
105,15,5,0,0,2,10,11948,0.8415517349959065,0.9029664166497736,0.87117804289719,10.0,0.9936626708406505,0.8793837421447395,0.9330369945511902,1.0,1.0,1.0
105,15,5,0,0,3,10,5091,0.9121467369912619,1.0,0.954055166735282,10.0,0.9989109719575279,0.949943902649521,0.9738122622312659,1.0,1.0,1.0
105,15,5,0,0,5,10,975,0.9833431603773585,0.9983537862915295,0.9907916233476903,2.0,0.9871225577264654,0.9980544747081712,0.9925584164310166,1.0,1.0,1.0
225,15,50,4,8,2,10,420,0.9789983844911146,1.0,0.9893877551020407,2.6666667461395264,0.9937388193202147,1.0,0.996859578286227,NaN,NaN,NaN
225,15,50,4,8,3,10,617,0.9976055073331338,1.0,0.9988013185495954,NaN,0.9976055073331338,1.0,0.9988013185495954,NaN,NaN,NaN
225,15,50,4,8,5,10,964,0.9918166939443536,1.0,0.9958915365653246,1.3333333730697632,0.9931466030989273,1.0,0.996561518911646,NaN,NaN,NaN
195,15,50,3,6,2,10,436,0.9807776962582538,1.0,0.9902955774501815,2.6666667461395264,0.9953834698436337,1.0,0.9976863945070528,NaN,NaN,NaN
195,15,50,3,6,3,10,612,0.9966111830957839,1.0,0.998302715654952,2.0,0.9974064837905237,1.0,0.9987015581302436,NaN,NaN,NaN
195,15,50,3,6,5,10,1026,0.9924073246985261,1.0,0.9961891952477023,0.6666666865348816,0.9912267657992565,1.0,0.9955940557090582,NaN,NaN,NaN
165,15,50,2,4,2,10,1252,0.9516616314199395,0.9988469299509946,0.9746835443037974,7.333333492279053,0.996548748921484,0.9988469299509946,0.9976965159804204,1.0,0.9399622552488794,0.9690521067671917
165,15,50,2,4,3,10,624,0.9959163346613545,1.0,0.9979539897200459,0.6666666865348816,0.9959163346613545,1.0,0.9979539897200459,1.0,1.0,1.0
165,15,50,2,4,5,10,940,0.982750995134896,1.0,0.9913004684363149,1.3333333730697632,0.9856572526985066,1.0,0.992776826271502,1.0,1.0,1.0
135,15,50,1,2,2,10,464,0.9818501170960188,1.0,0.9908419497784343,1.3333333730697632,0.9821376281112738,1.0,0.9909883291475845,0.9998731286475514,0.9640366972477065,0.9816279504266052
135,15,50,1,2,3,10,2961,0.9363141250878426,1.0,0.9671097400535318,4.666666507720947,0.9786980075291525,1.0,0.9892343387470998,1.0,0.8853125892092493,0.939167960025741
135,15,50,1,2,5,10,891,0.9915241635687733,1.0,0.9957440453968491,2.6666667461395264,0.9930007446016381,1.0,0.9964880818949414,1.0,0.8853389452203303,0.9391827898795831
105,15,50,0,0,2,10,11819,0.8496391339214114,1.0,0.9187079991328853,10.0,0.9952361782071927,1.0,0.9976124020580421,1.0,1.0,1.0
105,15,50,0,0,3,10,4633,0.9277346841855311,1.0,0.962512831040854,10.0,0.9977975508765747,0.9662998037710093,0.9817961165048544,1.0,1.0,1.0
105,15,50,0,0,5,10,857,0.988014205386209,0.9991021996109531,0.9935272673164199,4.0,0.9921236439292614,0.9989525662127787,0.9955263942737846,1.0,1.0,1.0
225,15,500,4,8,2,10,414,0.9840566873339238,1.0,0.9919642857142857,0.6666666865348816,0.9840566873339238,1.0,0.9919642857142857,NaN,NaN,NaN
225,15,500,4,8,3,10,594,0.9929493545183714,1.0,0.9964622053913996,2.6666667461395264,0.9976055073331338,1.0,0.9988013185495954,NaN,NaN,NaN
225,15,500,4,8,5,10,930,0.9961147638971907,1.0,0.9980536008384489,2.0,0.9962636377223135,1.0,0.9981283222280452,NaN,NaN,NaN
195,15,500,3,6,2,10,386,0.9891675322748182,1.0,0.9945542707944798,1.3333333730697632,0.9976055073331338,1.0,0.9988013185495954,NaN,NaN,NaN
195,15,500,3,6,3,10,564,0.9977050488924366,1.0,0.9988512062334548,1.3333333730697632,0.9974064837905237,1.0,0.9987015581302436,NaN,NaN,NaN
195,15,500,3,6,5,10,997,0.9952224544640191,1.0,0.9976055073331338,2.6666667461395264,0.9952224544640191,1.0,0.9976055073331338,NaN,NaN,NaN
165,15,500,2,4,2,10,389,0.9836210712704737,1.0,0.9917429145280071,1.3333333730697632,0.9959659345584939,1.0,0.9979788906355266,1.0,1.0,1.0
165,15,500,2,4,3,10,614,0.9876531015408929,1.0,0.9937882025542911,2.0,0.9941340226685226,1.0,0.9970583836067209,0.9984952223309006,1.0,0.9992470446502523
