Number of C5.0 Attributes,Number of Event Types,Number of Values,Number of Selection Constraints,Number of Attributes,Number of Relevant Types,Number of Negation Constraints,Number of Aggregate Constraints,Number of Parameter Constraints,Frequency of Noisy Events,Window,Number of Errors,Original Precision,Original Recall,Original F-score,Misclassification Cost Estimate,Final Precision,Final Recall,Final F-score,iCEP Precision,iCEP Recall,iCEP F-score
135,15,50,1,2,3,0,0,0,9,10,1047,0.8012684989429175,0.9952731092436975,0.8877957367064886,4.666666507720947,0.9477911646586346,0.9915966386554622,0.9691991786447638,0.44185651139068344,1.0,0.6128994222379437
135,15,50,1,2,3,0,0,0,30,10,2520,0.6789765233447639,1.0,0.8087981146897093,10.0,0.98131910026687,1.0,0.9905714835482009,0.5221437740693197,1.0,0.6860636727809404
135,15,50,1,2,3,0,0,0,3,10,5855,0.6568627450980392,0.9917495753457899,0.79029295175481,5.333333492279053,0.8560556642748424,0.9553506430478039,0.9029816513761467,0.6617962466487936,1.0,0.7964830200855045
135,15,50,1,2,3,0,0,0,9,10,667,0.9416322314049587,1.0,0.9699388135142326,2.0,0.9435817805383023,1.0,0.9709720372836218,0.9773859716366424,1.0,0.9885636751308393
135,15,50,1,2,3,0,0,0,30,10,251,0.958234456573327,1.0,0.9786718371303926,2.0,0.9796215429403202,1.0,0.9897058823529412,0.9739162380602499,1.0,0.9867857807556301
135,15,50,1,2,3,0,0,0,3,10,2995,0.8135148042024832,0.9970734562481709,0.8959894806048652,3.3333332538604736,0.887584767866458,0.9959028387474392,0.9386291545993656,0.5515789473684211,1.0,0.7109905020352781
135,15,50,1,2,3,0,0,0,9,10,645,0.8919440424505547,1.0,0.942886282508924,3.3333332538604736,0.9413265306122449,0.997836668469443,0.9687582042530849,0.4415539368713146,1.0,0.6126082771896054
135,15,50,1,2,3,0,0,0,30,10,157,0.9732360097323601,1.0,0.9864364981504316,0.6666666865348816,0.9770395701025891,1.0,0.9883864591055103,1.0,1.0,1.0
135,15,50,1,2,3,0,0,0,3,10,3788,0.7038634658664666,0.9981382978723404,0.8255609326880775,6.0,0.8904306220095694,0.9898936170212767,0.9375314861460957,0.6129550321199143,1.0,0.760039827414537
135,15,50,1,2,3,0,0,0,9,10,1919,0.7290809327846365,0.9948525970987365,0.8414803087274887,2.6666667461395264,0.8236441669918064,0.9878334113242864,0.8982978723404255,0.4987847222222222,1.0,0.6655855438433916
135,15,50,1,2,3,0,0,0,30,10,581,0.872895622895623,0.9980750721847931,0.931297709923664,4.666666507720947,0.9557603686635945,0.9980750721847931,0.9764595103578154,0.47835872576177285,1.0,0.6471483780302143
135,15,50,1,2,3,0,0,0,3,10,3063,0.8061705134243994,1.0,0.8926848350502021,6.0,0.9120703437250199,1.0,0.9540133779264214,0.9833371904651701,1.0,0.9915985997666278
135,15,50,1,2,3,0,0,0,9,10,558,0.9207818930041153,1.0,0.9587573647562935,0.6666666865348816,0.9104781281790437,1.0,0.9531416400425985,0.9691647150663544,1.0,0.9843409316154609
135,15,50,1,2,3,0,0,0,30,10,1457,0.723846653671215,0.9973142345568488,0.838855421686747,4.666666507720947,0.910609857978279,0.9758281110116384,0.9420916162489196,0.49498555158932517,1.0,0.6621944286526436
135,15,50,1,2,3,0,0,0,3,10,3093,0.8599348534201955,1.0,0.9246935201401052,10.0,0.9769427839453458,1.0,0.9883369330453564,0.9911545623836127,1.0,0.9955576338555062
135,15,50,1,2,3,0,0,0,9,10,4661,0.5608446671438797,0.9968193384223919,0.717819514429684,8.666666984558105,0.9147885149737573,0.9424300254452926,0.9284035719880934,0.6596768649020281,1.0,0.7949461474730737
135,15,50,1,2,3,0,0,0,30,10,195,0.9619826756496631,1.0,0.9806230071130733,0.6666666865348816,0.9578342117872545,1.0,0.9784630445423397,1.0,1.0,1.0
135,15,50,1,2,3,0,0,0,3,10,2979,0.8196484469058511,1.0,0.9008865952097392,4.666666507720947,0.9079754601226994,1.0,0.9517684887459806,0.9783014465702287,1.0,0.9890317254393207
135,15,50,1,2,3,0,0,0,9,10,582,0.9008919722497523,1.0,0.9478623566214807,2.6666667461395264,0.946875,1.0,0.9727126805778492,0.4270620313565099,1.0,0.5985192261762599
135,15,50,1,2,3,0,0,0,30,10,2813,0.685236072945291,0.9981804949053857,0.8126203525403644,6.0,0.9128065395095368,0.975254730713246,0.9429978888106967,0.5984140969162995,1.0,0.7487597839267998
135,15,50,1,2,3,0,0,0,3,10,2857,0.8287687544653489,1.0,0.906368016668837,7.333333492279053,0.9536859413537956,1.0,0.9762940103801375,0.9718565592374036,1.0,0.9857274401473296
135,15,50,1,2,3,0,0,0,9,10,2478,0.6464976832924503,0.9887453105460609,0.7818061964403429,4.666666507720947,0.8716896680343156,0.9741558982909546,0.9200787401574804,0.5184569338210842,1.0,0.6828734121769602
135,15,50,1,2,3,0,0,0,30,10,943,0.8250281004121394,0.998639455782313,0.9035699630693477,2.6666667461395264,0.892987434130523,0.999092970521542,0.9430650684931507,0.49483471074380164,1.0,0.6620594333102972
135,15,50,1,2,3,0,0,0,3,10,3114,0.8812161813965472,1.0,0.9368579646623749,6.666666507720947,0.9526462395543176,1.0,0.9757489300998574,0.9983471074380166,1.0,0.9991728701406121
135,15,50,1,2,3,0,0,0,9,10,893,0.809931506849315,0.9978902953586498,0.8941398865784499,4.0,0.8991799324650265,0.9831223628691983,0.9392794154698916,0.4653271692745377,1.0,0.6351170974396311
135,15,50,1,2,3,0,0,0,30,10,474,0.9395477618827872,0.9955990220048899,0.9667616334283001,4.666666507720947,0.9782608695652174,0.9902200488997555,0.9842041312272174,0.4996324880558618,1.0,0.6663399093248377
135,15,50,1,2,3,0,0,0,3,10,6757,0.6139903709997168,0.9843359818388195,0.7562570855498387,5.333333492279053,0.856013316687474,0.933938706015891,0.893279774183042,0.6836922268907563,1.0,0.8121344459174921
135,15,50,1,2,3,0,0,0,9,10,565,0.8967229394240318,1.0,0.9455497382198953,1.3333333730697632,0.9043565348022033,1.0,0.9497764922429661,1.0,1.0,1.0
135,15,50,1,2,3,0,0,0,30,10,204,0.9833659491193738,1.0,0.9916132215096202,0.6666666865348816,0.984811366976972,1.0,0.9923475685016045,0.9881613022567518,1.0,0.994045403796055
135,15,50,1,2,3,0,0,0,3,10,3007,0.8099311000237586,1.0,0.8949855605145707,8.0,0.9565095398428731,1.0,0.9777714039868062,0.9817842129845866,1.0,0.9908083902898892
135,15,50,1,2,3,0,0,0,9,10,2227,0.6993360733480872,1.0,0.8230697674418604,9.333333015441895,0.9787610619469026,1.0,0.9892665474060822,0.5224839400428265,1.0,0.6863572433192686
135,15,50,1,2,3,0,0,0,30,10,352,0.938101788170564,0.9922405431619786,0.9644119726608532,1.3333333730697632,0.9390862944162437,0.986905916585839,0.9624024592102152,0.9865258557902403,1.0,0.9932172318973419
135,15,50,1,2,3,0,0,0,3,10,2761,0.8081642284096272,1.0,0.893905781025708,5.333333492279053,0.900841662283009,1.0,0.947834509478345,0.9915512790424783,1.0,0.9957577185953335
135,15,50,1,2,3,0,0,0,9,10,1611,0.7275652484805148,1.0,0.8423013245033113,4.666666507720947,0.9465116279069767,1.0,0.972520908004779,0.4922666666666667,1.0,0.6597569692637598
135,15,50,1,2,3,0,0,0,30,10,286,0.9577067669172933,1.0,0.9783965434469516,1.3333333730697632,0.9611742424242424,0.9960745829244357,0.9783132530120482,0.9834619625137817,1.0,0.9916620344635909
135,15,50,1,2,3,0,0,0,3,10,3495,0.865310327066701,1.0,0.9277923512356758,3.3333332538604736,0.9010458567980691,1.0,0.9479475243334743,0.991608726923999,1.0,0.995786685927531
135,15,50,1,2,3,0,0,0,9,10,542,0.9135,0.9961832061068703,0.9530516431924883,4.0,0.9489473684210527,0.9830970556161396,0.9657204070701659,0.979716800612323,1.0,0.9897544944906245
135,15,50,1,2,3,0,0,0,30,10,501,0.8999133448873483,1.0,0.9473204104903079,4.0,0.9471044231646146,1.0,0.9728337236533957,0.45879354290569246,1.0,0.6290040768782761
135,15,50,1,2,3,0,0,0,3,10,5267,0.6520116807268008,0.9891705636229388,0.7859587366774224,2.6666667461395264,0.7402866842700868,0.9660349495446714,0.8382274426054458,0.65685618729097,1.0,0.7928946306015342
135,15,50,1,2,3,0,0,0,9,10,648,0.904950495049505,0.9967284623773174,0.9486248053969902,2.6666667461395264,0.935633367662204,0.9907306434023991,0.9623940677966102,0.9817333851535173,1.0,0.9907825063737987
135,15,50,1,2,3,0,0,0,30,10,822,0.8555422168867547,0.9995324918186068,0.921949115998275,1.3333333730697632,0.8596702854845195,0.9995324918186068,0.9243406830955468,0.46494708994708994,1.0,0.6347629796839729
135,15,50,1,2,3,0,0,0,3,10,3473,0.889755590223609,1.0,0.941662080352229,5.333333492279053,0.9447818884594147,1.0,0.9716070414537195,1.0,1.0,1.0
135,15,50,1,2,3,0,0,0,9,10,5626,0.5228123935989104,0.9954619124797407,0.6855675856680432,7.333333492279053,0.8803183348637894,0.9322528363047001,0.9055415617128464,0.6513855627779679,1.0,0.7888957944893309
135,15,50,1,2,3,0,0,0,30,10,1929,0.7170639899623589,1.0,0.835221044939715,6.666666507720947,0.9588753671842216,0.9995625546806649,0.9787963161276504,0.49828649760109667,1.0,0.665141811527905
135,15,50,1,2,3,0,0,0,3,10,8290,0.6031635264014887,0.9896946564885496,0.7495302789420437,13.333333015441895,0.9421370967741935,0.891793893129771,0.9162745098039214,0.8068,1.0,0.8930706220943103
135,15,50,1,2,3,0,0,0,9,10,523,0.9372384937238494,1.0,0.9676025917926566,2.6666667461395264,0.9542066027689031,1.0,0.976566757493188,0.9716614906832298,1.0,0.9856270919472337
135,15,50,1,2,3,0,0,0,30,10,960,0.791894852135816,0.9899589228662711,0.8799188640973631,2.0,0.8562945368171021,0.987220447284345,0.9171083315666737,0.506652474720596,1.0,0.6725538678912045
135,15,50,1,2,3,0,0,0,3,10,6705,0.6095000656081879,0.9735904422552923,0.749677211103938,9.333333015441895,0.9254712845243315,0.8849297841123455,0.904746598092789,0.73252599710412,1.0,0.8456161677556602
135,15,50,1,2,3,0,0,0,9,10,469,0.93580375782881,1.0,0.9668374224858453,5.333333492279053,0.9905450500556173,0.9933073061907418,0.9919242550821498,1.0,1.0,1.0
135,15,50,1,2,3,0,0,0,30,10,6390,0.5877599880293282,0.9997454823110206,0.740294006784772,10.666666984558105,0.9653266331658291,0.9778569610587936,0.9715513971424958,0.7982593559617058,1.0,0.8878133772142097
135,15,50,1,2,3,0,0,0,3,10,5480,0.6746696745085401,0.9959562321598477,0.804418828049952,6.0,0.8893871449925261,0.9907231208372979,0.937324181388545,0.6653972422849639,1.0,0.7990853177732219
135,15,50,1,2,3,0,0,0,9,10,641,0.8995654273297924,1.0,0.9471276054905948,2.6666667461395264,0.904368932038835,1.0,0.949783329084884,0.9839326702371843,1.0,0.9919012726571539
135,15,50,1,2,3,0,0,0,30,10,205,0.9629094412331407,1.0,0.9811042944785276,1.3333333730697632,0.9689772176442074,1.0,0.9842442146725752,0.999247554552295,1.0,0.9996236356793377
135,15,50,1,2,3,0,0,0,3,10,3851,0.7165429278507519,0.9861147498035107,0.8299889746416759,5.333333492279053,0.8684394681595521,0.9753733298401887,0.9188055281342546,0.6078895463510848,1.0,0.7561334641805691
135,15,50,1,2,3,0,0,0,9,10,6220,0.520469596628537,1.0,0.6846169075430607,9.333333015441895,0.9653824678950307,1.0,0.9823863636363637,0.7008447904588372,1.0,0.8241137514608493
135,15,50,1,2,3,0,0,0,30,10,303,0.966109785202864,0.9960629921259843,0.9808577659316695,3.3333332538604736,0.9783027965284474,0.9985236220472441,0.988309790550414,0.9862606758262161,1.0,0.9930828192185456
135,15,50,1,2,3,0,0,0,3,10,3229,0.7965663217309501,1.0,0.8867652834140594,3.3333332538604736,0.869475847893114,0.9991142604074402,0.92979804918258,0.9800094073377235,1.0,0.9899037890485806
135,15,50,1,2,3,0,0,0,9,10,527,0.9409282700421941,1.0,0.9695652173913044,1.3333333730697632,0.9262720664589823,1.0,0.9617250673854447,0.967470340604669,1.0,0.9834662517020035
135,15,50,1,2,3,0,0,0,30,10,274,0.9687950072011522,1.0,0.9841502072665204,2.0,0.9824732229795521,1.0,0.9911591355599214,0.9866369710467706,1.0,0.9932735426008968
135,15,50,1,2,3,0,0,0,3,10,3066,0.8514483783114632,0.998838222480395,0.9192729216786957,5.333333492279053,0.9087542978048135,0.9979668893406912,0.9512735326688815,0.5660702451954938,1.0,0.7229180771834801
135,15,50,1,2,3,0,0,0,9,10,588,0.9365904365904366,1.0,0.9672571121846485,4.0,0.9735278227984873,1.0,0.9865863673692854,1.0,1.0,1.0
135,15,50,1,2,3,0,0,0,30,10,882,0.8291457286432161,0.9921369102682701,0.9033480732785849,2.0,0.884009942004971,0.9870490286771508,0.9326923076923077,0.475012619888945,1.0,0.6440793976728268
135,15,50,1,2,3,0,0,0,3,10,3218,0.8330917874396135,1.0,0.9089471603636843,2.6666667461395264,0.8789500509683996,1.0,0.9355757493557575,0.5689169239028319,1.0,0.7252352437981181
135,15,50,1,2,3,0,0,0,9,10,598,0.8825536062378168,0.9961496149614961,0.9359173126614987,2.0,0.9000497265042268,0.9955995599559956,0.9454165578480022,0.44129413811097584,1.0,0.6123581945450157
135,15,50,1,2,3,0,0,0,30,10,162,0.9866732477788747,1.0,0.9932919254658386,1.3333333730697632,0.9925521350546177,1.0,0.9962621480189385,0.9996237772761475,1.0,0.9998118532455315
135,15,50,1,2,3,0,0,0,3,10,4585,0.697800077190274,0.9794149512459371,0.8149650664863647,4.666666507720947,0.8522727272727273,0.9750812567713976,0.9095502779181405,0.5918876345497506,1.0,0.7436299167147686
135,15,50,1,2,3,0,0,0,9,10,905,0.7742203742203743,0.981549815498155,0.8656438865643886,2.0,0.8224508050089445,0.9694254085397996,0.8899104766513427,0.43261702482092285,1.0,0.603953488372093
135,15,50,1,2,3,0,0,0,30,10,165,0.9813634134379597,0.9980049875311721,0.9896142433234422,0.0,0.9813634134379597,0.9980049875311721,0.9896142433234422,0.9751734209565535,1.0,0.9874306839186692
135,15,50,1,2,3,0,0,0,3,10,3275,0.807352590116973,1.0,0.8934090608902391,6.666666507720947,0.9301430143014301,1.0,0.963807352522086,0.9784593771950363,1.0,0.989112426035503
135,15,50,1,2,3,0,0,0,9,10,1026,0.810492069947133,0.9910492292391845,0.8917225950782999,5.333333492279053,0.9109653233364574,0.9666832421680756,0.9379975874547648,0.46963350785340313,1.0,0.6391164944780905
135,15,50,1,2,3,0,0,0,30,10,212,0.9805352798053528,1.0,0.9901719901719902,0.0,0.9805352798053528,1.0,0.9901719901719902,0.9824953445065177,1.0,0.9911703926357317
135,15,50,1,2,3,0,0,0,3,10,3271,0.832603406326034,1.0,0.9086563993627191,6.666666507720947,0.9298913043478261,1.0,0.9636722050126725,0.9733639494833525,1.0,0.9865022108447755
135,15,50,1,2,3,0,0,0,9,10,1893,0.7130075705437027,0.9904397705544933,0.8291316526610644,6.0,0.9376744186046512,0.9636711281070746,0.9504950495049505,0.48920612813370473,1.0,0.6570025718961889
135,15,50,1,2,3,0,0,0,30,10,194,0.968568665377176,0.9995009980039921,0.9837917485265226,0.0,0.968568665377176,0.9995009980039921,0.9837917485265226,0.9763575914296269,1.0,0.9880373831775702
135,15,50,1,2,3,0,0,0,3,10,5181,0.6649991931579796,0.9887236084452975,0.7951760733236855,8.0,0.9238649592549476,0.9520153550863724,0.9377289377289376,0.6589311762365734,1.0,0.7944044764188649
135,15,50,1,2,3,0,0,0,9,10,610,0.888996138996139,0.9994574064026045,0.9409961685823756,2.0,0.8958637469586375,0.9989148128052089,0.944586967675731,0.984206471494607,1.0,0.9920403805086391
135,15,50,1,2,3,0,0,0,30,10,490,0.9301911960871498,0.987724268177526,0.9580948019235173,4.0,0.9550925925925926,0.9740321057601511,0.9644693782141187,0.4813067784765898,1.0,0.649840783111216
135,15,50,1,2,3,0,0,0,3,10,2815,0.8284558648584345,0.9982798165137615,0.9054739305681966,2.6666667461395264,0.8946280991735537,0.9931192660550459,0.941304347826087,0.9917469050894085,1.0,0.9958563535911602
135,15,50,1,2,3,0,0,0,9,10,2215,0.6614420062695925,0.9827666511411272,0.7907063893573169,3.3333332538604736,0.8115264797507789,0.9706567303213787,0.8839872746553553,0.5041768186564567,1.0,0.6703690848085156
135,15,50,1,2,3,0,0,0,30,10,204,0.969097054563013,1.0,0.9843060323688083,1.3333333730697632,0.9737991266375546,1.0,0.9867256637168141,1.0,1.0,1.0
