NumC50Attributes,NumEventTypes,NumValues,NumConstraints,NumAttributes,NumEventConstraints,NumNegations,NumAggregates,NumParameters,Window,NumErrors,OriginalPrecision_Rule1,OriginalRecall_Rule1,OriginalF1_Rule1,MissClassificationCost_Rule1,FinalPrecision_Rule1,FinalRecall_Rule1,FinalF1_Rule1,OriginalPrecision_Rule2,OriginalRecall_Rule2,OriginalF1_Rule2,MissClassificationCost_Rule2,FinalPrecision_Rule2,FinalRecall_Rule2,FinalF1_Rule2,OriginalPrecision_Rule3,OriginalRecall_Rule3,OriginalF1_Rule3,MissClassificationCost_Rule3,FinalPrecision_Rule3,FinalRecall_Rule3,FinalF1_Rule3,SystemPrecisionFinal,SystemRecallFinal,SystemF1Final,SystemPrecisionOriginal,SystemRecallOriginal,SystemF1Original
135,15,50,1,2,3,0,0,0,10,9861,0.8138875767595655,0.9976838448176027,0.8964620187304891,20.0,0.8602096854717923,0.9976838448176027,0.9238605898123324,0.7785234899328859,0.9968490403895732,0.8742620273834945,20.0,0.8955761316872428,0.9974219421369235,0.9437593169806207,0.7985287138111058,0.9839181286549707,0.8815823945506942,17.33333396911621,0.8845338983050848,0.9766081871345029,0.9282934963868816,0.959691201602923,0.9983600778579859,0.9786438106112392,0.7966403468029106,0.9928605885190546,0.8839926126358288
135,15,50,1,2,3,0,0,0,10,9981,0.8005552984729292,0.9885714285714285,0.8846842239836359,15.333333015441895,0.907994757536042,0.9897142857142858,0.9470950102529051,0.8094344050692326,0.9891023802695726,0.8902942694889003,17.33333396911621,0.8390708088441086,0.859764840837396,0.8492917847025496,0.6886104357583692,0.995404163287375,0.8140614636303339,10.666666984558105,0.7897004955828485,0.9908083265747499,0.8788968824940048,0.9446829862139309,0.9926703833354942,0.9680823713369325,0.7603015075376884,0.9911098633726371,0.8604972375690606
135,15,50,1,2,3,0,0,0,10,10225,0.743960310612597,0.9976858547873879,0.8523415297170394,14.0,0.8433349729463846,0.9919004917558577,0.9116044131330585,0.7832216316154379,0.9941331768847169,0.876163391933816,14.666666984558105,0.8404815650865313,0.9829862129656791,0.9061654948620878,0.8254200146092038,1.0,0.9043617446978791,20.0,0.8980132450331125,1.0,0.9462665736217725,0.9459357671720248,0.9984099731894416,0.9714647805030593,0.7825554705432287,0.9972698907956318,0.8769613307039354
135,15,50,1,2,3,0,0,0,10,15266,0.6053081066876889,0.9698947368421053,0.7454089474961573,14.0,0.8041384231180878,0.9490526315789474,0.8706064117419855,0.7579160116775208,0.977694090382387,0.8538899430740038,14.0,0.8840279575459488,0.9892815758980301,0.9336978810663021,0.6194589308996089,0.9664378337147216,0.7549905651008044,8.0,0.7304431599229287,0.9638952453597762,0.8310862654828456,0.9085466200648872,0.9945185502895132,0.9495906724929457,0.6474175824175824,0.9709929954676555,0.7768584143728366
135,15,50,1,2,3,0,0,0,10,9108,0.8508259212198221,0.9887773183697578,0.9146291490233575,14.0,0.9421787709497207,0.9961606615475487,0.9684180304335344,0.8351702179769777,0.9947491248541424,0.90800159765677,20.0,0.9284739284739285,0.9921236872812136,0.9592441122549712,0.7965156794425087,0.9994170795686389,0.8865046535677352,14.0,0.9040337463749011,0.9994170795686389,0.9493355481727574,0.9318688931313083,0.9965199114472517,0.9631106596956276,0.8266655846790554,0.9943387018057589,0.9027827011697979
135,15,50,1,2,3,0,0,0,10,9633,0.852211710559959,0.9991007194244604,0.9198288947150545,20.0,0.957245337159254,1.0,0.9781556956457997,0.8022716736207696,0.9997111496244945,0.8901748971193414,20.0,0.9212346993081426,1.0,0.9590027700831025,0.8588596266939401,0.9946698252887178,0.9217892425905598,20.0,0.9211321791701017,0.9925969795676636,0.9555302166476625,0.9704480387777965,0.9993741517116573,0.9846987105905428,0.8366018457481872,0.9978378378378379,0.9101340146116265
135,15,50,1,2,3,0,0,0,10,9590,0.8218104062722738,1.0,0.9021909233176839,20.0,0.937144405310214,1.0,0.9675524475524475,0.7977502295684114,0.9928571428571429,0.884674134419552,15.333333015441895,0.8980595084087969,0.9917142857142857,0.9425661914460285,0.8390632785251619,1.0,0.9124898401517204,20.0,0.9172113289760349,1.0,0.9568181818181818,0.9691676641684647,0.9995360759891804,0.9841176447818161,0.8189840209873599,0.9975791614215164,0.8995023138042434
135,15,50,1,2,3,0,0,0,10,11551,0.851880081300813,0.9934814814814815,0.9172479824921351,20.0,0.9397625253402838,0.9614814814814815,0.950497949619215,0.7203057989931009,0.997933350555412,0.836690491661252,20.0,0.8742081447963801,0.9981916817359855,0.932095042817513,0.7339653085921742,0.9851109907958853,0.8411927877947295,20.0,0.8579881656804734,0.9813210611802924,0.9155196363177169,0.9546705891878762,0.9983699908973518,0.976031401657693,0.7613803745528512,0.9922303473491774,0.8616105091876018
135,15,50,1,2,3,0,0,0,10,11035,0.7238955823293173,0.9860503282275711,0.8348772579898102,8.666666984558105,0.7961684116729784,0.9775711159737418,0.8775936157151628,0.8010640758732361,0.9911276473955352,0.8860176538313931,20.0,0.9027522935779817,0.9856897538637664,0.9423997810918047,0.7217659137577002,0.9890264490714687,0.8345204178537512,12.666666984558105,0.865826538176427,0.9859313449634215,0.9219839494803316,0.9320712974834704,0.9961934617107031,0.9630662262263996,0.7467014746348691,0.9886958146487295,0.8508260642360413
135,15,50,1,2,3,0,0,0,10,9977,0.7839433293978748,0.9895678092399404,0.8748353096179183,20.0,0.8889778489458233,0.9928464977645306,0.9380456209518446,0.8318713450292398,0.9970794392523364,0.9070138150903294,18.66666603088379,0.9082690773730391,0.9976635514018691,0.9508698677800975,0.7726039783001808,1.0,0.8717163988778373,13.333333015441895,0.8838893198862167,1.0,0.9383665065202471,0.9521103117505996,0.9986752412653961,0.9748370279129343,0.7954242732899789,0.9955869373345102,0.8843205574912892
